rank,brandName,isPb,goodsName,salePrice,originalPrice,flagList,totalComment,numOfReviews,pctOf5,pctOf4,pctOf3,pctOf2,pctOf1,pakingGood,pakingMiddle,pakingBad,expLong,expMiddle,expShort,tasteGood,tasteMiddle,tasteBad
1,프로티원,0,프로티원 단백질쉐이크 파우치형 40g 5종 산리오,"3,900","3,900","['1+1', '오늘드림']",최고,"29,223",87,9,3,1,1,72,28,0,72,28,0,66,34,0
2,딜라이트 프로젝트,1,[7월 올영픽/띠부씰 포함] 딜라이트 프로젝트 베이글칩 6종 택1 (산리오 에디션),"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,138,88,10,1,1,0,74,26,0,70,30,0,75,25,0
3,딜라이트 프로젝트,1,[7월 올영픽/1+1] 딜라이트 프로젝트 단백질쉐이크 4종 택1 (산리오 에디션),"3,900","3,900","['1+1', '오늘드림']",최고,39,100,0,0,0,0,74,26,0,64,36,0,82,18,0
4,딜라이트 프로젝트,1,[7월 올영픽] 딜라이트 프로젝트 베이글칩&단백질쉐이크 (산리오 에디션),"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,25,92,4,4,0,0,80,20,0,64,36,0,76,24,0
5,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 45g 9종 택1,"3,900","3,900","['1+1', '오늘드림']",최고,"39,368",85,10,4,1,1,70,30,0,63,37,1,68,30,2
6,딜라이트 프로젝트,1,딜라이트 프로젝트 단백질쉐이크 단품/7개입 8종 택1,"3,900","3,900","['1+1', '오늘드림']",최고,"46,231",90,7,2,0,0,73,27,0,68,32,0,74,24,2
7,랩노쉬,0,[7월 파워팩 단독] 랩노쉬 단백쿠키 40g 더블초코 더블 기획 외 4종,"1,700","3,400","['세일', '오늘드림']",최고,"19,562",82,13,4,1,1,83,17,0,62,36,2,72,28,0
8,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 피넛버터 45g,"3,900","3,900","['1+1', '오늘드림']",최고,11,100,0,0,0,0,73,27,0,73,27,0,73,27,0
9,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 쿠키앤크림 45g,"3,900","3,900","['1+1', '오늘드림']",최고,29,93,3,0,3,0,76,24,0,79,21,0,72,24,4
10,플라이밀,0,"[단독기획/1+1] 플라이밀 단백질쉐이크 쿠키앤크림, 피넛버터 45g 2종","3,900","3,900","['1+1', '오늘드림']",최고,86,94,4,1,1,0,80,20,0,78,22,0,87,11,2
11,딜라이트 프로젝트,1,딜라이트 프로젝트 베이글칩 7종 택1,"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,"101,016",88,8,4,0,0,74,26,1,68,32,0,79,21,1
12,딜라이트 프로젝트,1,[7월 올영픽] 딜라이트 프로젝트 명인 찹쌀오징어채부각 50g 2종 택1 (오리지널/청양마요),"3,800","4,900","['세일', '쿠폰', '오늘드림']",최고,"9,438",88,8,3,1,0,76,24,1,68,32,0,77,21,2
13,빼바,0,[7월올영픽/1+1] 빼바 소프트 크런치 프로틴바 2종 산리오캐릭터즈 태닝 헬로키티,"3,200","3,200","['1+1', '증정', '오늘드림']",최고,238,81,13,4,2,1,69,31,0,73,27,0,69,27,4
14,라이블링,0,[7/1 하루특가] 라이블링 클렌즈 15ml*30포입 유리컵 기획 (5종 택 1),"24,900","34,900","['쿠폰', '오특']",최고,204,88,9,2,0,0,50,50,0,50,50,0,50,50,0
15,프로티원,0,프로티원 단백질쉐이크 파우치형 40g 4종,"3,900","3,900","['1+1', '오늘드림']",최고,"43,433",86,9,3,1,1,72,28,0,67,33,0,68,30,2
16,티젠,0,[7월 올영픽] 티젠 콤부차 레몬/매실/피치/스트로베리키위 10T 기획 (+티코스터) (산리오) (2507),"4,500","7,500","['세일', '쿠폰', '오늘드림']",최고,"63,313",87,9,3,0,0,47,53,0,50,50,0,57,43,0
17,딜라이트 프로젝트,1,[온라인단독] 딜라이트 프로젝트 베이글칩 5입 선물세트,"8,900","13,000","['세일', '오늘드림']",최고,"7,815",91,7,1,0,0,86,14,1,76,24,1,86,14,1
18,글루어트,0,[고함량 진짜 애사비/당류 0g] 글루어트 애플사이다비니거 7종 택 1(단품/기획),"8,900","13,900","['세일', '쿠폰', '오늘드림', '오특']",최고,"4,881",91,5,3,1,0,84,16,1,82,18,0,74,22,4
19,빼바,0,[7월올영픽/2+1] 빼바 리얼초콜릿 프로틴바 3종 산리오캐릭터즈 태닝 헬로키티,"3,200","3,200","['2+1', '증정', '오늘드림']",최고,"23,603",90,7,2,0,0,50,50,0,50,50,0,70,30,0
20,라이블링,0,"[7월 올영픽] 라이블링 클렌즈 15ml*10포입 4종 택 1(레몬,청사과,자몽 매실)","8,300","11,900","['세일', '쿠폰', '오늘드림']",최고,"16,669",88,8,3,1,0,70,30,1,66,34,0,64,33,3
21,니아르,0,[사나 Pick] 니아르 브이케어 14정 (7일분) 2종 (파인애플맛/자몽맛),"13,900","24,900","['세일', '쿠폰', '오늘드림', '오특']",최고,518,91,6,2,0,1,80,20,0,73,27,0,77,23,2
22,딜라이트 프로젝트,1,딜라이트 프로젝트 프레첼 70g 3종 택1 (어니언치즈/버터갈릭/머스타드),"2,400","2,400","['2+1', '오늘드림']",최고,"31,796",89,7,3,0,0,76,24,0,64,36,1,78,22,1
23,에치와이,0,에치와이 갓비움 야쿠르트 100ml,"3,900","3,900","['1+1', '오늘드림']",최고,"7,346",84,9,5,1,1,64,34,2,62,38,1,49,46,5
24,낫띵베럴,0,낫띵베럴 럽티 호박차 15입,"6,900","7,900","['세일', '오늘드림']",최고,"3,409",79,14,5,1,1,64,36,1,60,40,1,59,39,2
25,프로티원,0,[보틀증정/무료배송] 프로티원 단백질쉐이크 490g x2통,"54,060","56,900","['쿠폰', '무배']",최고,"3,985",88,9,2,1,0,78,20,2,67,33,1,76,24,1
26,딜라이트 프로젝트,1,[신상출시] 딜라이트 프로젝트 곤약워터젤리 6종 택1,"1,900","1,900","['1+1', '오늘드림']",최고,"51,435",88,8,3,1,0,71,29,1,65,35,0,73,25,2
27,테일러,0,[7월올영픽]테일러 푸룬 딥워터 180ml 5종 (오리지널/레몬/매실/콤부차/자몽),"3,150","4,500","['세일', '오늘드림']",최고,"120,917",86,9,3,1,1,64,36,1,60,40,1,51,45,5
28,에치와이,0,에치와이 갓비움 푸룬 100ml,"3,900","3,900","['1+1', '오늘드림']",최고,"2,425",82,10,5,1,1,62,38,1,59,41,1,43,52,5
29,딜라이트 프로젝트,1,[7월 올영픽] 딜라이트 프로젝트 명인 부각 3종 택1 (김부각/콩마요김부각/연근부각),"3,330","3,500","['2+1', '쿠폰', '오늘드림']",최고,"1,107",90,8,2,0,0,69,31,1,64,36,1,73,27,0
30,티트리트,0,티트리트 푸룬 딥스트롱 180ml,"4,500","4,500","['1+1', '오늘드림']",최고,"10,872",82,10,5,1,1,64,36,1,58,42,1,44,50,6
31,그린몬스터,0,[SINCE 1997/급찐급빠] 그린몬스터 헐리우드48시간 원조 클렌즈,"26,000","35,000","['세일', '오늘드림']",최고,"8,925",78,14,6,1,1,67,33,2,62,38,1,62,38,2
32,플라이밀,0,[무료배송] 플라이밀 단백질쉐이크 630g*2통,"47,900","67,800",['쿠폰'],최고,239,88,8,3,0,1,69,31,2,62,38,0,70,25,5
33,테일러,0,[7월 올영픽/단독]테일러 딥워터 레몬 180ml,"4,500","4,500","['1+1', '오늘드림']",최고,76,91,8,0,0,1,72,26,2,66,34,0,70,30,0
34,빼바,0,[2+1/제로슈가] 빼바 리얼초콜릿 프로틴바 40g 1BOX(9개입) (다크/화이트/쿠키앤크림),"28,500","28,500","['2+1', '증정', '오늘드림']",최고,"25,448",90,7,2,0,0,73,24,3,68,32,1,82,18,1
35,딜라이트 프로젝트,1,딜라이트 프로젝트 베이글칩 8종 택1 (민화 Edition),"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,"5,085",93,5,2,0,0,79,21,1,74,26,1,82,18,1
36,딜라이트 프로젝트,1,딜라이트 프로젝트 명인 부각 단품/세트 8종 택1,"3,330","3,500","['2+1', '쿠폰', '오늘드림']",최고,"47,464",88,8,3,0,0,74,26,1,65,35,0,78,22,1
37,더단백,0,"빙그레 더단백 팝칩 3종(군옥수수, 매콤살사, 허니갈릭) 택 1","2,500","2,500","['2+1', '오늘드림']",최고,"30,744",90,7,2,0,0,72,28,0,68,32,0,77,23,1
38,티젠,0,[7월 올영픽] 티젠 콤부차 파인애플/샤인머스켓/청귤라임 10T 기획 (+2T) (산리오) (2507),"3,750","7,500","['세일', '쿠폰', '오늘드림']",최고,"63,311",87,9,3,0,0,70,30,0,70,30,0,74,26,0
39,글루어트,0,[7월 올영픽/고함량 애사비] 글루어트 애플사이다비니거 7종 택 1 (단품/기획),"8,900","13,900","['세일', '쿠폰', '오늘드림']",최고,"4,884",91,5,3,1,0,100,0,0,100,0,0,67,33,0
40,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 초코맛 45g,"3,900","3,900","['2+1', '오늘드림']",최고,"1,090",87,8,4,1,1,69,31,1,68,32,0,65,32,3
41,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 브라운 곡물맛 45g,"3,900","3,900","['2+1', '오늘드림']",최고,897,88,9,3,0,0,66,34,0,64,36,0,64,36,1
42,봄날엔,0,봄날엔 초코퐁당 요거꿀떡 6입,"15,000","15,000",[],최고,388,87,6,4,2,2,0,0,0,0,0,0,0,0,0
43,플라이밀,0,[무료배송] 플라이밀 단백질 쉐이크 대용량 630g (9종),"25,900","33,900",['쿠폰'],최고,"1,958",86,10,3,1,1,78,22,1,76,24,0,78,22,1
44,압타밀,0,압타밀 프로푸트라 듀오어드밴스 4종 중 택1 (1~3단계),"47,500","47,500",[],최고,790,92,7,1,0,0,78,22,1,72,28,1,80,20,0
45,디다,0,디다 디다샷 14포 (2주분),"28,900","29,800","['세일', '오늘드림']",최고,295,87,8,3,1,0,78,22,1,77,23,0,73,25,2
46,딜라이트 프로젝트,1,딜라이트 프로젝트 베이글칩 모음전,"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,"30,168",91,6,2,0,0,74,26,1,66,34,1,78,22,1
47,딜라이트 프로젝트,1,[신상출시] 딜라이트 프로젝트 곤약워터젤리 단품/10개입 12종 택1,"1,900","1,900","['1+1', '오늘드림']",최고,"32,498",90,7,2,0,0,71,29,0,66,34,0,74,26,1
48,오설록,0,오설록 웨하스 종합세트 (녹차2개+얼그레이2개) (쇼핑백 포함),"24,000","24,000",[],최고,22,73,18,9,0,0,95,5,0,77,23,0,73,27,0
49,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 블랙 흑임자맛 45g,"3,900","3,900","['2+1', '오늘드림']",최고,557,89,8,2,0,1,72,28,0,71,29,0,73,27,1
50,플라이밀,0,[NEW] 플라이밀 단백질쉐이크 콘시리얼맛 45g,"3,900","3,900","['2+1', '오늘드림']",최고,70,80,17,0,3,0,69,31,0,73,27,0,69,29,3
51,크리스탈 라이트​,0,크리스탈라이트 에이드 10p 6종 택1,"4,500","6,500","['세일', '오늘드림']",최고,"50,085",88,8,3,0,1,69,29,2,63,37,1,77,21,2
52,옐로욜로,0,옐로욜로 카카오칩 25g,"2,500","3,000","['세일', '오늘드림']",최고,"19,511",80,10,8,1,0,65,33,2,58,42,0,70,28,2
53,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 고구마맛 45g,"3,900","3,900","['2+1', '오늘드림']",최고,583,92,6,1,1,0,66,34,1,61,39,1,67,30,3
54,오설록,0,오설록 녹차와플x3 + 세작 1입 세트,"18,000","18,000",['무배'],최고,63,81,14,5,0,0,50,50,0,33,67,0,50,50,0
55,딜라이트 프로젝트,1,[온라인단독] 딜라이트 프로젝트 단백질쉐이크 540g 4종 택1,"28,900","33,900","['세일', '오늘드림']",최고,"1,064",92,6,2,0,0,68,32,1,67,33,0,80,20,1
56,라이블링,0,[7월 올영픽] 라이블링 파인쏙 클렌즈 매실맛 15ml*10포입 ( 파인애플식초),"8,300","11,900","['세일', '쿠폰', '오늘드림']",최고,"2,799",90,8,2,0,0,72,28,1,68,32,0,73,25,2
57,티젠,0,티젠 애플사이다비니거 5g 30포,"8,750","19,500","['세일', '쿠폰', '오늘드림']",최고,119,95,4,0,0,1,82,18,0,76,24,0,84,16,0
58,낫띵베럴,0,낫띵베럴 드링킷 유기농 호박즙 100ml,"1,300","1,600","['세일', '오늘드림']",최고,"6,492",81,12,5,1,0,71,29,1,67,33,1,53,43,4
59,디다,0,디다 디다톡 20정 (10일분),"33,800","34,900","['세일', '오늘드림']",최고,145,94,5,1,0,0,88,12,0,85,15,0,90,10,0
60,딜라이트 프로젝트,1,[스우파 오죠갱PICK] 딜라이트 프로젝트 애플코코 소보로 베이글칩 50g,"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,"1,376",89,8,3,0,0,70,30,1,65,35,0,73,27,1
61,빼바,0,[1+1/제로슈가] 빼바 소프트 크런치 프로틴바 카카오/솔티드피넛버터 40g 1BOX (9개입),"28,500","28,500","['1+1', '증정', '오늘드림']",최고,272,83,11,3,2,1,82,18,0,78,20,2,80,18,2
62,딜라이트 프로젝트,1,딜라이트 프로젝트 쫀득한 말랭이 3종 택1 (군고구마/망고/복숭아),"3,300","3,900","['세일', '오늘드림']",최고,"7,831",87,9,3,1,1,74,26,0,62,38,1,74,24,2
63,플립즈,0,플립즈 솔티드카라멜 프레젤 90g,"4,500","4,500","['1+1', '오늘드림']",최고,"3,369",89,7,3,0,1,70,28,2,63,37,1,78,22,1
64,딜라이트 프로젝트,1,딜라이트 프로젝트 프로틴 베이커리칩 50g 2종 택1 (브라우니/카스테라),"2,800","2,800",['오늘드림'],최고,"16,058",82,12,5,1,1,70,30,1,60,40,1,69,28,3
65,클룹,0,클룹 애사비 소다 오리지널 500ml,"1,380","2,500","['세일', '오늘드림']",최고,"7,486",92,6,1,0,0,76,24,0,70,30,0,80,20,1
66,스위치온,0,[올영단독] 스위치온 단백질 쉐이크 곡물맛 40g,"4,800","4,800",['오늘드림'],최고,319,84,11,3,1,1,77,23,1,72,28,0,58,36,6
67,크런틴,0,[당0g대] 크런틴 크런치볼 단백질쉐이크 초코이즈백 50g,"4,900","5,900","['세일', '오늘드림']",최고,114,89,6,3,0,2,91,7,2,84,14,2,90,8,2
68,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 그린 녹차맛 45g,"3,900","3,900","['2+1', '오늘드림']",최고,640,87,7,5,1,0,65,35,0,66,34,0,65,33,2
69,롯데,0,롯데칠성 게토레이 레몬 (240ml x 30),"15,500","16,500",['쿠폰'],최고,76,95,5,0,0,0,80,14,6,83,17,0,84,16,0
70,딜라이트 프로젝트,1,딜라이트 프로젝트 바삭한 원물칩 3종 택1,"3,200","3,200","['2+1', '오늘드림']",최고,"21,675",87,9,3,0,0,70,30,1,61,39,1,75,25,1
71,링글스,0,[리뷰이벤트] 링글스 애사비 캔디 28정 2주분,"34,900","34,900",['오늘드림'],최고,304,96,3,0,0,0,84,16,1,72,28,1,89,11,0
72,니아르,0,[사나 Pick] 니아르 브이케어 파인애플맛 28정 (14일분),"33,900","37,900","['세일', '오늘드림']",최고,80,96,4,0,0,0,93,8,0,93,8,0,98,3,0
73,테일러,0,[7월 올영픽] 테일러 푸룬 농축 딥워터 180ml,"4,000","4,500","['세일', '쿠폰', '오늘드림']",최고,"75,403",86,10,3,1,1,64,36,0,56,44,1,40,51,9
74,비브리브,0,"비브리브 꼬박꼬밥 5종 중 택1(미숫가루,초코,스윗콘,흑임자,딸기)","3,300","3,900","['세일', '오늘드림']",최고,"43,409",87,9,3,1,1,67,33,0,61,39,0,65,32,3
75,단백하니,0,[정희원박사 개발참여]단백하니 프로틴바 3종 택1,"2,900","2,900",['오늘드림'],최고,512,86,8,3,2,1,82,18,0,81,19,0,75,21,4
76,부샤드,0,부샤드 초콜릿 132g 4종 중 택1 (밀크/다크/카라멜&씨솔트/다크민트),"8,500","8,500",['오늘드림'],최고,"18,248",93,6,1,0,0,74,26,1,65,35,1,81,19,1
77,비비카,0,"비비카 구카누가크래커100g 2종 택1 (오리지널,솔티커피)","1,750","2,500","['세일', '오늘드림']",최고,"8,399",90,7,2,0,0,73,27,0,66,34,1,77,23,1
78,딜라이트 프로젝트,1,딜라이트 프로젝트 빨미까레 3종 택1 (저당초코/스트로베리/더블쿠키),"2,200","2,200",['오늘드림'],최고,"2,570",80,11,6,2,1,66,32,2,58,42,1,62,33,5
79,니아르,0,[사나 Pick] 니아르 브이케어 28정 (14일분) 2종 (파인애플맛/자몽맛),"33,900","37,900","['세일', '오늘드림']",최고,100,97,3,0,0,0,100,0,0,100,0,0,100,0,0
80,비비랩,0,[차주영 PICK] 비비랩 유기농 레몬즙 10포 3종 택1 (레몬즙/레몬자몽즙/레몬애사비),"7,500","12,900","['세일', '오늘드림']",최고,"2,459",90,7,3,0,0,76,24,0,70,30,0,66,32,2
81,니아르,0,[사나 Pick] 니아르 퓨어 애사비 28정 (14일분),"33,900","37,900","['세일', '오늘드림']",최고,233,98,1,0,0,0,97,3,0,96,4,0,97,3,0
82,잇더핏,0,델리스푼 잇더핏 더블초코맛 40g 7개입,"25,200","25,200",['오늘드림'],최고,513,90,7,2,0,0,65,35,1,58,42,1,62,38,1
83,니아르,0,니아르 가르시니아 샤인머스캣맛 14정 (7일분),"17,500","24,900","['세일', '오늘드림']",최고,73,89,5,5,0,0,85,15,0,85,15,0,82,15,3
84,딜라이트 프로젝트,1,딜라이트 프로젝트 벌꿀약과 2종 택1 (오리지널/눈꽃),"4,600","4,600",['오늘드림'],최고,"5,079",82,11,5,1,1,71,29,1,59,39,2,69,29,3
85,랩노쉬,0,"랩노쉬 단백쿠키 4종 택1(더블초코,피넛버터,리치코코넛,화이트오렌지)","1,700","1,700",['오늘드림'],최고,"31,331",82,12,4,1,1,65,35,1,57,43,1,65,33,3
86,니아르,0,[사나 Pick] 니아르 브이케어 파인애플맛 14정 (7일분),"13,900","24,900","['세일', '쿠폰', '오늘드림']",최고,316,91,6,2,0,0,87,13,0,83,17,1,86,14,1
87,코카콜라,0,[본사직영] 코카콜라 무라벨 370ml*24페트,"22,880","28,600",['쿠폰'],최고,221,98,1,0,0,1,82,14,4,70,28,3,88,9,3
88,프롬잇,0,"프롬잇 프로틴칩 6종(칠리바베큐,어니언랜치,허니갈릭,콘소메,콰트로치즈,명란마요) 택1","2,600","2,600",['오늘드림'],최고,"41,012",87,9,3,1,0,70,30,1,65,35,0,73,27,2
89,오설록,0,오설록 제주 말차 밀크티 10입,"10,400","13,000","['세일', '오늘드림']",최고,"1,266",92,6,2,0,0,77,23,0,69,31,0,81,19,1
90,봄날엔,0,봄날엔 초코초꾸떡 6입,"13,000","13,000",[],최고,108,92,6,1,1,1,0,0,0,0,0,0,0,0,0
91,트윅스,0,트윅스 탑 초콜릿 비스킷 10개입,"3,400","5,100","['세일', '오늘드림']",최고,"2,738",92,5,2,0,0,73,27,1,66,34,1,79,21,1
92,쏙차,0,"[힙응비pick] 가벼운 쏙차 15+5포, 당차 15포, 빼차 15포 택1 (오르조,자몽맛,레몬맛)","9,900","15,000","['세일', '오늘드림']",최고,"7,686",82,11,5,1,1,76,24,0,72,28,0,59,36,6
93,베노프,0,베노프  단백질쉐이크 600g 7종 택1,"26,700","31,900","['쿠폰', '무배']",최고,306,82,13,4,0,1,75,25,0,69,31,0,68,29,3
94,플립즈,0,플립즈 밀크 초콜릿 프레젤 90g,"4,500","4,500","['1+1', '오늘드림']",최고,"2,929",89,8,2,0,0,70,28,2,62,38,1,76,22,2
95,딜라이트 프로젝트,1,딜라이트 프로젝트 쫀득한 말랭이 대용량 3종 택1 (군고구마/망고/복숭아),"9,600","9,600",['오늘드림'],최고,"8,649",88,8,3,1,1,70,30,1,57,41,2,72,25,3
96,온브릭스,0,"[온브릭스] 신선함을 담은, 항공직송 워싱턴 생체리","18,960","23,700","['쿠폰', '무배']",최고,31,97,3,0,0,0,0,0,0,0,0,0,0,0,0
97,매일유업,0,[매일유업] 앱솔루트 유기농 궁 분유 1단계(0~6개월) 800g 3캔,"105,000","105,000",[],최고,26,100,0,0,0,0,96,4,0,88,12,0,88,12,0
98,오설록,0,오설록 말차 프레첼 대용량 (125g),"7,350","10,500","['세일', '오늘드림']",최고,"1,166",77,10,8,3,2,74,26,0,64,36,0,63,28,9
99,랩노쉬,0,랩노쉬 저당 웨하스 53g 2종(초코바닐라/초코딸기) 택1,"3,500","3,500","['2+1', '오늘드림']",최고,"5,704",89,7,3,1,0,71,29,1,68,32,0,76,24,1
100,온브릭스,0,[온브릭스] 고당도 부사사과 4kg이상(로열과/18-20입),"49,920","62,400","['쿠폰', '무배']",최고,120,91,8,0,2,0,0,0,0,0,0,0,0,0,0
